Station Name,Street Address,City,ZIP,Station Phone,Groups With Access Code,Latitude,Longitude,ID
North Carolina State University - Keystone Science Center,1791 Varsity Dr,Raleigh,27606,919-513-3334,Public,35.774673,-78.677792,64755
Ingles Market,2130 E Main St,Lincolnton,28092,704-735-2398,Public,35.478123,-81.221638,65509
Sunshine Chevrolet,100 Thunderland Cir,Arden,28704,,Public - Call ahead,35.480846,-82.564542,65512
Mills Rentals Office,120 Purefoy Rd,Chapel Hill,27514,919-967-0045,Public - Credit card at all times,35.897388,-79.052478,65520
"Piedmont Triad Regional Council, NC",1398 Carrollton Crossing Drive,Kernsersville,27284,855-885-9571,Public,36.079558,-80.064636,65924
Ingles Market,915 Merrimon Ave,Asheville,28804,828-253-1326,Public,35.62983,-82.552775,66409
BSMG SOUTH DECK 2,Julian Carr St,Durham,27701,888-758-4389,Public,35.992658,-78.905999,66697
Concord Regional Airport - Hourly Parking Lot,9000 Aviation Blvd,Concord,28027,704-920-5900,Public,35.385521,-80.712971,67127
MEBANE TANGER EV 1,4000 Arrowhead Blvd,Mebane,27302,888-758-4389,Public,36.074911,-79.26771,67172
SAS Institute Inc - U,720 SAS Campus Dr,Cary,27513,,Private,35.820801,-78.753109,68003
SAS Institute Inc - Q,801 SAS Campus Dr,Cary,27513,,Private,35.82111,-78.749317,68004
SAS Institute Inc - H,301 SAS Campus Dr,Cary,27513,,Private,35.827144,-78.76066,68005
SAS Institute Inc - LW,104 SAS Campus Dr,Cary,27513,,Private,35.828483,-78.767465,68006
Beach Ready Auto,8863 Caratoke Hwy,Point Harbor,27964,252-489-4891,Public,36.093125,-75.808695,68269
Publix #1442,11222 Providence Rd W,Charlotte,28277,704-716-2344,Public,35.0435,-80.84951,68383
Publix #1453,2222 South Blvd,Charlotte,28203,704-373-2122,Public,35.208237,-80.86254,68384
ASBURYVILLAGE ASBURY STAT 1,814 Handsworth Ln,Raleigh,27607,888-758-4389,Public,35.795027,-78.738174,68827
VRF ROBINSON FARM,8430 Rea Rd,Charlotte,28277,888-758-4389,Public,35.053318,-80.81217,70594
FPWC HONEYCUTT 1,352-498 Devers St Honeycutt Park,Fayetteville,28303,888-758-4389,Public,35.069194,-78.92208,71809
UNC CRAIGE DECK,290-296 Manning Dr,Chapel Hill,27514,888-758-4389,Public,35.902571,-79.047712,73277
Piedmont Triad International Airport,1000 A Ted Johnson Pkwy,Greensboro,27409,336-665-5631,Public,36.105313,-79.938316,73468
"CHARLOTTE, NC HUNTERSVILLE 01",10300 Compass St,Huntersville,28078,888-758-4389,Public,35.41369,-80.857192,73502
"CHARLOTTE, NC SOUTHEND 02",1428 South Blvd,Charlotte,28203,888-758-4389,Public,35.215386,-80.853754,73525
"CHARLOTTE, NC SOUTHEND 01",1424-1436 South Blvd,Charlotte,28203,888-758-4389,Public,35.215337,-80.853918,73527
HALIFAXCNTYCVB STATION 01,260 Premier Blvd,Roanoke Rapids,27870,888-758-4389,Public,36.426982,-77.631357,74559
Rider Transit System,635 Alfred Brown Jr Court SW,Concord,28025,704-920-5431,Public,35.37637407,-80.56380056,75480
City of Concord - Parking Deck,35 Cabarrus Ave W,Concord,28026,704-920-5431,Public,35.409825,-80.582282,75481
BEMC OIB,44 E 1st St,Ocean Isle Beach,28469,888-758-4389,Public,33.888258,-78.432809,75527
HALIFAXCNTYCVB HGI STATION 01,111 Carolina Crossroads Pkwy,Roanoke Rapids,27870,888-758-4389,Public,36.398861,-77.640846,76532
HALIFAXCNTYCVB HAMPTON INN 01,85 Hampton Blvd,Roanoke Rapids,27870,888-758-4389,Public,36.432713,-77.630786,76533
Caromont Regional Medical Center,2525 Court Dr,Gastonia,28054,704-834-2000,Public,35.27153,-81.141587,76881
Southern Alliance for Clean Energy,46 Orchard St,Asheville,28801,,Private,35.601009,-82.548012,76914
"CHARLOTTE, NC CATS I-485 4",9512 South Blvd,Charlotte,28273,888-758-4389,Public,35.106994,-80.883287,78305
"CHARLOTTE, NC CMPD LEC 1",601 E. Trade St.,Charlotte,28202,888-758-4389,Public,35.223157,-80.836819,78355
BERNCHARGE BERNHARDT EVSE,1839 Morganton Blvd SW,Lenoir,28645,888-758-4389,Public,35.896887,-81.558321,78873
AVL TECH PARK EV CHARGER 01,15 N Merrimon Ave,Asheville,28801,888-758-4389,Public,35.639777,-82.575849,79380
DEVON FOUR25 DEVON FOUR25,425 N Boylan Ave,Raleigh,27603,888-758-4389,Public,35.786358,-78.649851,80023
HARRIS TEETER HT 003,4821 Berwick Town Center Dr,Charlotte,28278,888-758-4389,Public,35.160957,-80.973479,80109
DUKEPTS SDG 2,302 Science Drive Science Drive Garage,Durham,27708,888-758-4389,Public,35.99613,-78.947421,80187
DUKEPTS SDG VISITOR JB,Thomas Center Dr Science Drive Garage,Durham,27708,888-758-4389,Public,35.996268,-78.947219,80188
LANTOWER WAVERL SW EV2,11809 Providence Rd,Charlotte,28277,888-758-4389,Public,35.050642,-80.766069,80325
New Belgium Brewery,21 Craven St,Asheville,28806,828-333-6900,Public,35.586702,-82.570643,80421
Ingles Market,867 Brevard Rd,Asheville,28806,828-665-0787,Public,35.530128,-82.606464,81000
Ingles Market,201 Barber Blvd,Waynesville,28786,828-456-7599,Public,35.504331,-82.987681,81001
Publix #1475,34 Miller St,Winston-Salem,27104,336-724-3707,Public,36.094603,-80.275497,81084
CITY OF WILSON POLICE LOT,212 Green St E,Wilson,27893,888-758-4389,Public,35.724962,-77.908933,81756
DUKEPTS RDG1,304 Research Dr,Durham,27710,888-758-4389,Public,36.00702,-78.941262,81839
GASTONIA 1555 E GARRISON,1555 E Garrison Blvd,Gastonia,28054,888-758-4389,Public,35.252107,-81.157763,82191
Maggie Valley - Town Hall,3987 Soco Rd,Maggie Valley,28751,828-926-0866,Public,35.517156,-83.09442,82222
SANFORDEVHORNER 151 S HORNER 01,151 S Horner Blvd,Sanford,27330,888-758-4389,Public,35.479392,-79.179842,82513
PIEDMONT EMC PEMC,2500 NC-86 PEMC Visitor Lot,Hillsborough,27278,888-758-4389,Public,36.045546,-79.080706,82601
MUNICIPAL LOT GRANITE FALLS,17 State Rd 1107,Granite Falls,28630,888-758-4389,Public,35.797815,-81.430339,82603
Hot Springs Resort & Spa - Campground,247 Bridge St,Hot Springs,28743,828-622-7676,Public,35.893472,-82.824906,85685
PIEDMONT TRIAD COBLE TRANS CTR,8310 W. Market Street,Greensboro,27409,888-758-4389,Public,36.093768,-79.95943,85770
WEST JEFFERSON WEST JEFFERSON,414 School Ave,West Jefferson,28694,888-758-4389,Public,36.402542,-81.489421,85773
Western Carolina University,320 Memorial Dr,Cullowhee,28723,828-227-7442,Public,35.311874,-83.183414,85786
ELM-MARSHALL ST GRAHAM,200-206 E Elm St,Graham,27253,888-758-4389,Public,36.069424,-79.398463,85790
Ingles Market,625 Spartanburg Hwy,Hendersonville,28739,828-692-1368,Public,35.306469,-82.456078,85948
Holiday Inn Express,107 Upward Crossing Dr,Flat Rock,28731,828-698-8899,Public,35.29856,-82.409937,85954
Monroe Nissan,5510 W Highway 74,Indian Trail,28110,704-288-3654,Public - Call ahead,35.060577,-80.631499,85968
SPECTRUM BLDG B2 1,300 S Tryon St,Charlotte,28202,888-758-4389,Public,35.225662,-80.845776,85987
Albemarle Corp,4350 Congress St,Charlotte,28209,,Public,35.154231,-80.837508,86027
Duke Energy,526 S Church St,Charlotte,28202,,Private,35.225061,-80.849351,86063
Duke Energy,1040 Beason Creek Rd,Kings Mountain,28086,,Private,35.236976,-81.414012,86064
Duke Energy,4412 Hillsborough Rd,Durham,27705,,Private,36.035299,-78.973331,86066
Duke Energy,250 9th St Ln SE,Hickory,28602,,Private,35.73312,-81.319387,86067
Duke Energy,410 S Mint St,Charlotte,28202,,Private,35.227182,-80.850301,86068
Duke Energy,610 Toddville Rd,Charlotte,28214,,Private,35.276037,-80.915771,86079
Duke Energy,431 S Salisbury St,Raleigh,27601,,Private,35.774724,-78.640402,86120
Duke Energy,602 Raleigh Rd,Henderson,27536,,Private,36.309215,-78.409358,86121
Duke Energy,2637 Gum Branch Rd,Jacksonville,28540,,Private,34.803916,-77.4468,86122
Duke Energy,1020 W Chatham St,Cary,27511,,Private,35.773958,-78.803281,86123
Duke Energy,1422 Mechanical Blvd,Garner,27529,,Private,35.71922,-78.629588,86124
Duke Energy,160 Rush St,Raleigh,27603,,Private,35.7417,-78.642369,86125
Duke Energy,4690 Simms Creek Rd,Raleigh,27616,,Private,35.884757,-78.564544,86126
Duke Energy,25 Burlington Rd,Roxboro,27573,,Private,36.390045,-79.000328,86127
Duke Energy,555 Brevard Rd,Asheville,28806,,Private,35.511376,-82.600756,86129
Duke Energy,700 E Ritchie Rd,Salisbury,28146,,Private,35.624893,-80.492531,86156
Duke Energy,410 S Wilmington St,Raleigh,27601,,Private,35.774838,-78.63743,86166
Duke Energy,1451 Military Cutoff Rd,Wilmington,28403,,Private,34.224815,-77.829645,86174
City of Hendersonville - Azalea Parking Lot,301 N King St,Hendersonville,28792,828-697-3000,Public,35.316047,-82.458795,86263
A&ET CAPE FEAR CC,4500 Blue Clay Rd Behind NB Building,Castle Hayne,28429,888-758-4389,Public,34.324938,-77.879843,86919
STARWORKS STARWORKS,100 Russell Dr,Star,27356,888-758-4389,Public,35.406401,-79.785713,86942
TOC EV STATIONS TOWNHALL,301 W Main St,Carrboro,27510,888-758-4389,Public,35.91116,-79.077496,86956
FLAT ROCK NC VILLAGE OFFICE,110 Village Center Dr,Flat Rock,28731,888-758-4389,Public,35.272712,-82.441517,86959
Blue Ridge Community College - Brevard Campus,45 Oak Park Dr,Brevard,28712,828-694-1700,Public,35.250058,-82.720567,86965
PIEDMONT TRIAD MEBANE SOUTH,3940 Arrowhead Blvd,Mebane,27302,888-758-4389,Public,36.074761,-79.270004,87572
DUKEPTS PG2 LEVEL 7,2300-2314 Erwin Rd,Durham,27705,888-758-4389,Public,36.008327,-78.937789,87609
City of Archdale - Creekside Park,214 Park Dr,Archdale,27263,336-431-9141,Public,35.893721,-79.935725,87805
City of Archdale - City Hall,307 Balfour Dr,Archdale,27263,336-431-9141,Public,35.89954,-79.961673,87806
Town of Sylva - Bridge Park,76 Railroad Ave,Sylva,28779,828-586-2719,Public,35.374319,-83.224975,87963
DILLSBORO NC TOWN HALL PARK,Depot St Town Hall Park,Dillsboro,28275,888-758-4389,Public,35.369982,-83.249138,88015
HARRIS TEETER MORCROFT,3908 Colony Rd,Charlotte,28211,888-758-4389,Public,35.153275,-80.825473,88081
